countryname,code,cum_excess_who_2023release,cumexcesswho_per100k,excess_deaths_ihme,excess_death_rate_ihme,poptot2020,logmedianage,logpop20,malesper100females,pctpobciudades50khab,loggdppercapita2019,pctinformaloutput2019,pctgovthealthexpgdp2019_who,pctprivatehealthexpgdp2019,haqindex2019,avg_ihrcorecapacitiesscores2019,prematuredeathsncds_2019,pctobesemen2019,pctobesewomen2019,pctmen30_79hypertension2019,pctwomen30_79hypertension2019,diabetesprevalence2021
Cote d'Ivoire,CIV,15988.10917,60.383587,33900,63.4,26477574,2.9285235,17.091808,102.2329224501,53.334114,8.5422049,38.37068557739258,.97,2.24,34.32034485,44,67.27,6.76,14.1,36.9,37.6,2.1
Croatia,HRV,18139.04681,440.84177,22900,285.6,4114639,3.7841897,15.230062,94.59289000552241,40.351601,10.287143,29.50443077087402,5.55,1.25,81.39898857,78,15.77,30.3,25.57,51.4,45.3,4.8
Cuba,CUB,53673.2237,474.59637,26600,126.8,11309236,3.7635231,16.241131,98.94289524787619,80.45945,,,9.869999999999999,1.21,66.15880807000001,78,29.17,16.65,23.27,40.3,39.5,7.6
Czechia,CZE,43247.93852,410.40335,49100,244.8,10537911,3.7681527,16.17049,97.03926967604809,33.570484,10.621077,16.77410316467285,6.44,1.16,81.48845839000001,68,18.08,27.47,21.61,49.1,34,7.1
Democratic Republic of Congo,COD,49853.7546,54.585228,98700,59.2,91331950,2.8332133,18.330011,98.44157717974041,32.689404,6.9659224,42.72808456420898,.55,2.96,29.04130076,35,56.69,3.69,7.84,32.7,35.7,5.8
Denmark,DNK,1297.158723,22.323322,10400,94.09999999999999,5810778,3.744787,15.575225,98.8858929936371,40.936478,10.947537,16.67757987976074,8.5,1.65,85.54002033,95,17.36,14.94,11.02,43.3,28.6,5.3
Dominican Republic,DOM,9022.087355,82.473732,20800,100.7,10939347,3.3178158,16.207876,101.163486935509,84.764664,9.8075857,28.87588119506836,2.59,1.65,45.39305772,55,39.44,21.3,32.92,49,49.2,10.5
Ecuador,ECU,79581.448,455.08496,112000,333.4,17487163,3.3357697,16.676977,100.020683952038,45.351837,9.3405104,31.89198112487793,4.87,2.9000001,52.89547513,77,36.35,19.71,30.1,29.2,25.1,4.4
Egypt,EGY,284786.1502,267.30765,265000,133.3,106538719,3.2308044,18.484018,102.376228024277,42.092476,9.3219442,31.40527153015137,1.3,3.3,51.5552166,83,47.88,29.9,54.76,35.6,40.7,20.9
El Salvador,SLV,17500.76701,278.63373,26900,226.8,6280922,3.3178158,15.653028,91.0228448432534,51.538517,9.107358,42.06427001953125,4.71,4.0999999,54.72000374,89,34.35,21.41,35.35,31.4,33.6,6.3
Eritrea,ERI,2040.739098,57.91544,7210,51,3523653,2.9601052,15.075008,97.2322907306712,35.463814,,37.80831909179688,.79,3.8,25.59651355,49,49.91,2.23,5.58,22.5,24.7,6.5
Ethiopia,ETH,52211.12798,45.150352,208000,104.6,115638360,2.985682,18.565979,101.110705281108,8.9088182,7.6878409,34.2337646484375,.73,2.5,31.20527354,63,52.73,.85,3.71,24.5,30.1,5
Finland,FIN,3767.307723,68.183914,8780,80.8,5525215,3.7565382,15.524833,97.4955625045269,66.859863,10.791038,17.4063892364502,7.35,1.8200001,87.74954514,94,13.46,20.51,20.85,41,30.6,6.1
France,FRA,87645.47584,135.97351,155000,124.2,64457760,3.7376697,17.981522,93.6339430389945,37.24168,10.734716,14.23316192626953,8.33,2.76,88.01601334999999,82,15.27,10.33,10.24,34.1,24.4,5.3
